"Division","Buyer","Dept","Vendor","Markstyle","first_Wk","regular_num_ordered","Full_Price","Unit_Cost","Q1","R1","regular_sellThru","regular_cost","full_cycle_num_sold","full_cycle_sales","full_ST","full_Rtns","P4P","p1","p2","R2","Q2","ST2"
8,70,70,403,4850,6,17,285,140,4,1140,0.2353,560,13,2069,0.7647,2,0,285,103.222222222222,929,9,0.692307692307692
8,70,70,403,5430,6,112,445,220,41,16045.97,0.3661,9020,97,24773.97,0.8661,38,0,391.36512195122,155.857142857143,8728,56,0.788732394366197
8,70,70,403,5801,6,116,105,50,23,2212,0.1983,1150,76,6235.99,0.6552,6,0,96.1739130434783,75.9243396226415,4023.99,53,0.56989247311828
8,70,70,403,5802,6,44,105,50,14,1245.99,0.3182,700,46,2683.98,1.0455,9,0,88.9992857142857,44.9371875,1437.99,32,1.06666666666667
8,70,70,403,6131,11,14,255,125,12,2805,0.8571,1500,13,2958,0.9286,4,0,233.75,153,153,1,0.5
8,70,70,403,6151,9,178,255,125,20,4706,0.1124,2500,118,16890.01,0.6629,41,0,235.3,124.326632653061,12184.01,98,0.620253164556962
8,70,70,403,6872,9,98,105,50,41,3939,0.4184,2050,94,7103.04,0.9592,4,0,96.0731707317073,59.6988679245283,3164.04,53,0.929824561403509
8,70,70,584,51218,11,16,278,139,3,834,0.1875,417,14,2725,0.875,4,0,278,171.909090909091,1891,11,0.846153846153846
8,70,70,584,51671,12,14,170,85,5,731,0.3571,425,14,1872,1,6,0,146.2,126.777777777778,1141,9,1
8,70,70,584,51702,9,16,258,129,1,206,0.0625,129,16,1702,1,0,0,206,99.7333333333333,1496,15,1
8,70,70,584,54027,9,18,358,179,8,2556,0.4444,1432,17,4805,0.9444,5,0,319.5,249.888888888889,2249,9,0.9
8,70,70,584,58356,2,16,350,175,5,1750,0.3125,875,16,4054,1,6,0,350,209.454545454545,2304,11,1
8,70,70,584,58439,9,18,420,210,5,1864,0.2778,1050,15,3300,0.8333,2,0,372.8,143.6,1436,10,0.769230769230769
8,70,70,584,58466,3,16,364,182,3,1092,0.1875,546,16,3049,1,3,0,364,150.538461538462,1957,13,1
8,70,70,584,58485,7,18,410,205,6,2330,0.3333,1230,17,5144,0.9444,1,0,388.333333333333,255.818181818182,2814,11,0.916666666666667
8,70,70,584,58490,12,18,366,183,6,2123,0.3333,1098,16,4191,0.8889,2,0,353.833333333333,206.8,2068,10,0.833333333333333
8,70,70,584,58494,12,18,366,183,6,2141,0.3333,1098,16,3337,0.8889,4,0,356.833333333333,119.6,1196,10,0.833333333333333
8,70,70,584,58555,12,18,350,175,2,630,0.1111,350,15,2924,0.8333,8,0,315,176.461538461538,2294,13,0.8125
8,70,70,615,2660,9,90,268,133,18,4597,0.2,2394,80,10000.98,0.8889,22,0,255.388888888889,87.1609677419355,5403.98,62,0.861111111111111
8,70,70,615,2690,8,124,218,108,19,3584.03,0.1532,2052,91,9237.08,0.7339,18,0,188.633157894737,78.5145833333333,5653.05,72,0.685714285714286
8,70,70,615,2770,7,42,208,103,13,2184.01,0.3095,1339,36,3676.02,0.8571,4,0,168.000769230769,64.87,1492.01,23,0.793103448275862
8,70,70,615,3100,6,78,98,48,12,1044,0.1538,576,58,3177,0.7436,16,0,87,46.3695652173913,2133,46,0.696969696969697
8,70,70,615,3770,9,100,288,143,22,5690,0.22,3146,92,16063.99,0.92,16,0,258.636363636364,148.199857142857,10373.99,70,0.897435897435897
8,70,70,615,3810,9,28,208,103,4,746,0.1429,412,26,3069,0.9286,7,0,186.5,105.590909090909,2323,22,0.916666666666667
8,70,70,615,3950,9,16,248,123,4,812,0.25,492,14,2601,0.875,3,0,203,178.9,1789,10,0.833333333333333
8,70,70,615,4040,9,100,218,108,16,3230.02,0.16,1728,64,8247.06,0.64,21,0,201.87625,104.521666666667,5017.04,48,0.571428571428571
8,70,70,615,4050,9,100,198,98,16,2924.99,0.16,1568,68,7199.97,0.68,23,0,182.811875,82.2111538461538,4274.98,52,0.619047619047619
8,70,70,615,4080,9,50,258,128,9,1963.99,0.18,1152,35,4896.99,0.7,10,0,218.221111111111,112.807692307692,2933,26,0.634146341463415
8,70,70,643,7400,6,34,348,173,3,992,0.0882,519,19,4368,0.5588,7,0,330.666666666667,211,3376,16,0.516129032258065
8,70,70,643,7402,5,29,378,188,11,3830,0.3793,2068,24,7073,0.8276,10,0,348.181818181818,249.461538461538,3243,13,0.722222222222222
8,70,70,643,7404,5,12,288,143,4,1109,0.3333,572,10,2296,0.8333,3,0,277.25,197.833333333333,1187,6,0.75
8,70,70,643,7409,7,24,288,143,3,864,0.125,429,13,2259,0.5417,4,0,288,139.5,1395,10,0.476190476190476
