"Division","Buyer","Dept","Vendor","Markstyle","first_Wk","regular_num_ordered","Full_Price","Unit_Cost","Q1","R1","regular_sellThru","regular_cost","full_cycle_num_sold","full_cycle_sales","full_ST","full_Rtns","P4P","p1","p2","R2","Q2","ST2"
7,118,118,903,27005,13,20,58,25.2,17,879,0.85,428.4,18,916,0.9,4,0.05,51.7058823529412,37,37,1,0.333333333333333
7,118,118,197,32080,9,28,158,68.64,19,2623.01,0.6786,1304.16,26,3466.01,0.9286,10,0.0556,138.053157894737,120.428571428571,843,7,0.777777777777778
7,112,113,528,65027,6,28,98,49,2,170,0.0714,98,12,673,0.4286,8,0.0588,85,50.3,503,10,0.384615384615385
7,118,736,619,51161,10,12,39,17.75,6,228,0.5,106.5,12,365,1,1,0.0588,38,22.8333333333333,137,6,1
31,190,644,4,70177,3,12,95,30.08,3,285,0.25,90.24,12,666,1,1,0.0588,95,42.3333333333333,381,9,1
3,162,195,672,21217,7,16,224,96.8,2,448,0.125,193.6,4,634,0.25,0,0.0625,224,93,186,2,0.142857142857143
7,118,701,619,80331,6,14,65,28.28,4,239,0.2857,113.12,14,651,1,2,0.0625,59.75,41.2,412,10,1
3,162,195,238,22460,8,6,165,67.5,1,147,0.1667,67.5,4,442,0.6667,1,0.0667,147,98.3333333333333,295,3,0.6
31,190,152,410,31506,11,15,219,97.46,13,2672,0.8667,1266.98,14,2784,0.9333,5,0.0667,205.538461538462,112,112,1,0.5
31,190,152,410,39613,5,10,109,48.51,3,262,0.3,145.53,9,709,0.9,2,0.0667,87.3333333333333,74.5,447,6,0.857142857142857
7,112,113,231,8160,10,99,128,44.8,8,1024,0.0808,358.4,48,2461,0.4848,22,0.0714,128,35.925,1437,40,0.43956043956044
7,112,713,282,63050,9,124,200,80,3,570,0.0242,240,7,889,0.0565,6,0.0714,190,79.75,319,4,0.0330578512396694
3,172,162,660,34277,8,20,288,111.2,2,533,0.1,222.4,4,778,0.2,6,0.0769,266.5,122.5,245,2,0.111111111111111
7,111,111,398,31360,6,12,58,24.64,2,116,0.1667,49.28,4,183,0.3333,1,0.0769,58,33.5,67,2,0.2
7,111,111,398,80846,6,70,138,44.22,9,1050,0.1286,397.98,28,1824.01,0.4,19,0.0769,116.666666666667,40.7373684210526,774.01,19,0.311475409836066
7,118,736,619,50799,6,8,29,13.2,3,70,0.375,39.6,8,147,1,3,0.0769,23.3333333333333,15.4,77,5,1
31,190,616,619,50966,7,14,59,26.85,4,202,0.2857,107.4,12,523,0.8571,2,0.0769,50.5,40.125,321,8,0.8
3,162,164,595,39851,12,8,198,90,1,198,0.125,90,3,446,0.375,4,0.0833,198,124,248,2,0.285714285714286
3,162,195,31,24297,11,12,143,61.75,2,129,0.1667,123.5,5,278,0.4167,3,0.0833,64.5,49.6666666666667,149,3,0.3
32,144,461,595,19446,6,7,72,31.68,5,360,0.7143,158.4,7,458,1,2,0.0833,72,49,98,2,1
3,162,164,595,40731,7,34,185,84,2,370,0.0588,168,18,2022,0.5294,7,0.0909,185,103.25,1652,16,0.5
3,71,178,443,82710,9,26,168,81,15,2389,0.5769,1215,18,2893,0.6923,5,0.0909,159.266666666667,168,504,3,0.272727272727273
3,162,195,298,28060,11,20,168,83.7,6,817,0.3,502.2,11,1240,0.55,3,0.0909,136.166666666667,84.6,423,5,0.357142857142857
7,112,675,969,49168,7,16,59,23.6,11,579,0.6875,259.6,15,775,0.9375,2,0.0909,52.6363636363636,49,196,4,0.8
7,118,736,619,50798,7,10,29,13.2,1,29,0.1,13.2,9,92,0.9,3,0.0909,29,7.875,63,8,0.888888888888889
32,144,485,3,74222,8,144,39,17.6,102,3494,0.7083,1795.2,137,4179.99,0.9514,30,0.0909,34.2549019607843,19.5997142857143,685.99,35,0.833333333333333
3,172,162,503,46312,6,48,280,108,20,5183,0.4167,2160,37,8946,0.7708,30,0.1,259.15,221.352941176471,3763,17,0.607142857142857
3,162,195,28,7926,12,18,240,103.5,2,432,0.1111,207,5,620,0.2778,8,0.1,216,62.6666666666667,188,3,0.1875
7,112,122,410,22780,5,140,59,22.13,75,3243.04,0.5357,1659.75,133,4617.06,0.95,43,0.1,43.2405333333333,23.69,1374.02,58,0.892307692307692
7,111,899,3,79055,7,180,179,71.03,119,18238.99,0.6611,8452.57,168,22929.98,0.9333,72,0.1,153.268823529412,95.7344897959183,4690.99,49,0.80327868852459
31,190,92,853,40321,6,37,75,32.64,7,473,0.1892,228.48,18,848,0.4865,7,0.1,67.5714285714286,34.0909090909091,375,11,0.366666666666667
3,162,195,31,34265,12,16,242,104.5,2,484,0.125,209,5,865,0.3125,2,0.1111,242,127,381,3,0.214285714285714
7,118,118,903,20806,10,24,158,70.2,16,2377.01,0.6667,1123.2,20,2649.01,0.8333,14,0.1111,148.563125,68,272,4,0.5
7,112,122,410,22762,7,18,199,74.63,10,1315,0.5556,746.3,16,1981,0.8889,3,0.1111,131.5,111,666,6,0.75
7,112,122,410,22777,6,104,99,37.13,33,2286,0.3173,1225.29,82,4235.96,0.7885,41,0.1111,69.2727272727273,39.7951020408163,1949.96,49,0.690140845070423
7,118,736,619,51207,14,12,26,10,2,52,0.1667,20,11,183,0.9167,1,0.1111,26,14.5555555555556,131,9,0.9
7,111,899,3,78559,6,90,110,50.24,28,2854.99,0.3111,1406.72,65,4833.98,0.7222,23,0.1111,101.963928571429,53.4862162162162,1978.99,37,0.596774193548387
7,111,899,3,78786,9,108,45,16.24,15,509,0.1389,243.6,96,1917,0.8889,10,0.1111,33.9333333333333,17.3827160493827,1408,81,0.870967741935484
32,144,75,508,32875,6,40,28,11,7,192,0.175,77,23,392,0.575,1,0.1111,27.4285714285714,12.5,200,16,0.484848484848485
32,144,463,665,21198,5,17,79,39.5,10,714,0.5882,395,15,982,0.8824,2,0.1111,71.4,53.6,268,5,0.714285714285714
7,118,736,619,51164,10,14,49,22.3,2,98,0.1429,44.6,13,286,0.9286,1,0.1176,49,17.0909090909091,188,11,0.916666666666667
32,144,75,687,15930,5,48,58,24.65,16,774.99,0.3333,394.4,35,1585.99,0.7292,15,0.1176,48.436875,42.6842105263158,811,19,0.59375
3,172,162,660,34194,12,15,250,96,3,700,0.2,288,7,1226,0.4667,5,0.125,233.333333333333,131.5,526,4,0.333333333333333
3,162,164,595,39992,9,33,185,84,6,983,0.1818,504,25,2325,0.7576,9,0.125,163.833333333333,70.6315789473684,1342,19,0.703703703703704
7,112,122,410,22675,5,26,99,44.06,10,883,0.3846,440.6,21,1646.01,0.8077,4,0.125,88.3,69.3645454545454,763.01,11,0.6875
7,112,718,595,1366,6,54,89,39.16,20,1565,0.3704,783.2,38,2614,0.7037,10,0.125,78.25,58.2777777777778,1049,18,0.529411764705882
31,190,152,410,31465,6,8,89,39.61,2,178,0.25,79.22,8,535,1,1,0.125,89,59.5,357,6,1
32,144,75,903,28904,11,10,58,25.2,6,325,0.6,151.2,8,387,0.8,2,0.125,54.1666666666667,31,62,2,0.5
32,144,485,3,74600,9,90,69,19.35,31,1210.02,0.3444,599.85,72,1915,0.8,30,0.125,39.0329032258065,17.1946341463415,704.98,41,0.694915254237288
3,162,195,118,64430,9,14,340,131.82,3,927,0.2143,395.46,12,2331,0.8571,8,0.1333,309,156,1404,9,0.818181818181818
3,162,195,501,18003,8,12,150,64.6,1,150,0.0833,64.6,4,334,0.3333,2,0.1333,150,61.3333333333333,184,3,0.272727272727273
7,118,701,619,81635,7,10,225,97.88,1,225,0.1,97.88,5,687,0.5,2,0.1333,225,115.5,462,4,0.444444444444444
31,190,152,410,39439,5,8,109,48.51,3,311,0.375,145.53,8,652,1,2,0.1333,103.666666666667,68.2,341,5,1
3,145,145,75,84014,13,16,375,175,4,1144,0.25,700,8,1747,0.5,1,0.1429,286,150.75,603,4,0.333333333333333
3,162,164,595,91310,7,8,355,161,2,600,0.25,322,5,1020,0.625,4,0.1429,300,140,420,3,0.5
3,196,196,120,42714,6,134,219.99,110,18,3479,0.1343,1980,117,11980.01,0.8731,26,0.1429,193.277777777778,85.8687878787879,8501.01,99,0.853448275862069
7,118,118,197,43331,2,154,88,37.84,13,1091.02,0.0844,491.92,109,4522.14,0.7078,34,0.1429,83.9246153846154,35.7408333333333,3431.12,96,0.680851063829787
7,118,118,903,16707,4,18,58,25.2,9,461,0.5,226.8,15,666.99,0.8333,7,0.1429,51.2222222222222,34.3316666666667,205.99,6,0.666666666666667
7,112,194,4,71965,11,189,49,15.43,78,3643.99,0.4127,1203.54,167,5526.95,0.8836,35,0.1429,46.7178205128205,21.1568539325843,1882.96,89,0.801801801801802
7,118,701,619,80938,7,78,90,39.15,3,270,0.0385,117.45,69,1975.03,0.8846,21,0.1429,90,25.8337878787879,1705.03,66,0.88
7,118,701,619,81841,10,16,150,65.25,8,1178,0.5,522,15,1805,0.9375,2,0.1429,147.25,89.5714285714286,627,7,0.875
7,112,713,282,32040,5,18,125,50,11,1309,0.6111,550,16,1718,0.8889,2,0.1429,119,81.8,409,5,0.714285714285714
7,112,713,282,43031,10,113,125,50,4,475,0.0354,200,6,605,0.0531,3,0.1429,118.75,65,130,2,0.018348623853211
7,111,899,3,78802,9,153,110,42.52,99,9334.04,0.6471,4209.48,142,11702.04,0.9281,44,0.1429,94.2832323232323,55.0697674418605,2368,43,0.796296296296296
7,111,899,3,78806,9,153,110,38.5,26,2204.01,0.1699,1001,124,4382.02,0.8105,42,0.1429,84.7696153846154,22.2245918367347,2178.01,98,0.771653543307087
7,111,899,3,79076,9,153,110,37.39,71,6206,0.4641,2654.69,107,8309.95,0.6993,35,0.1429,87.4084507042254,58.4430555555556,2103.95,36,0.439024390243902
7,111,899,3,79115,9,174,69,24.46,48,2845.06,0.2759,1174.08,150,4299.06,0.8621,43,0.1429,59.2720833333333,14.2549019607843,1454,102,0.80952380952381
31,190,152,197,44141,10,40,44,18.48,11,452.01,0.275,203.28,39,1078.07,0.975,6,0.1429,41.0918181818182,22.3592857142857,626.06,28,0.96551724137931
31,190,152,410,31435,6,8,219,97.46,3,657,0.375,292.38,8,1393,1,1,0.1429,219,147.2,736,5,1
31,190,152,488,57257,12,186,88,33,49,3668.98,0.2634,1617,113,5739.98,0.6075,43,0.1429,74.8771428571429,32.359375,2071,64,0.467153284671533
31,190,778,595,28460,6,392,75,33,18,1178.99,0.0459,594,316,6955.99,0.8061,60,0.1429,65.4994444444444,19.3859060402685,5777,298,0.796791443850267
32,144,144,410,24501,10,37,99,44.06,8,742,0.2162,352.48,36,1700,0.973,7,0.1429,92.75,34.2142857142857,958,28,0.96551724137931
3,162,195,139,38723,2,16,202,88.2,5,980,0.3125,441,7,1208,0.4375,9,0.15,196,114,228,2,0.181818181818182
7,118,118,130,46340,1,26,158,62.4,11,1620,0.4231,686.4,21,2493,0.8077,3,0.15,147.272727272727,87.3,873,10,0.666666666666667
3,162,195,776,49550,7,44,196,73.87,9,1487,0.2045,664.83,30,3410.01,0.6818,19,0.1538,165.222222222222,91.5719047619048,1923.01,21,0.6
7,111,111,398,41451,6,36,77,24.79,3,208,0.0833,74.37,25,805.99,0.6944,4,0.1538,69.3333333333333,27.1813636363636,597.99,22,0.666666666666667
7,118,118,903,23723,13,8,108,47.7,5,497,0.625,238.5,7,608,0.875,5,0.1538,99.4,55.5,111,2,0.666666666666667
7,112,713,282,53041,10,117,110,44,15,1536.99,0.1282,660,27,2264.99,0.2308,15,0.1538,102.466,60.6666666666667,728,12,0.117647058823529
7,118,736,619,50196,6,8,49,22.3,4,196,0.5,89.2,7,260,0.875,0,0.1538,49,21.3333333333333,64,3,0.75
7,118,736,619,50794,6,12,39,17.75,5,180,0.4167,88.75,12,369,1,1,0.1538,36,27,189,7,1
32,144,461,595,1347,11,8,59,25.96,2,118,0.25,51.92,7,285,0.875,2,0.1538,59,33.4,167,5,0.833333333333333
3,162,195,299,1060,7,24,320,145,18,4960.01,0.75,2610,21,5920.01,0.875,11,0.1579,275.556111111111,320,960,3,0.5
7,118,118,903,21317,13,12,48,20.7,8,272,0.6667,165.6,10,308,0.8333,5,0.1579,34,18,36,2,0.5
7,112,122,410,22880,9,18,59,22.13,8,445,0.4444,177.04,16,870,0.8889,1,0.1579,55.625,53.125,425,8,0.8
31,190,193,3,72176,10,24,59,21.59,9,381,0.375,194.31,18,707,0.75,5,0.1579,42.3333333333333,36.2222222222222,326,9,0.6
31,190,193,3,72221,10,12,55,19.4,6,256,0.5,116.4,9,339,0.75,2,0.1579,42.6666666666667,27.6666666666667,83,3,0.5
32,144,144,969,49247,10,98,89,35.6,35,2864.01,0.3571,1246,88,4790,0.898,39,0.1579,81.8288571428571,36.3394339622641,1925.99,53,0.841269841269841
3,172,162,660,34267,8,64,308,119.2,5,1463.01,0.0781,596,20,3866.01,0.3125,28,0.1667,292.602,160.2,2403,15,0.254237288135593
3,162,164,595,41411,10,18,175,80,8,1365,0.4444,640,10,1519,0.5556,9,0.1667,170.625,77,154,2,0.2
3,162,195,28,7781,7,12,204,88.2,10,1783,0.8333,882,12,1978,1,6,0.1667,178.3,97.5,195,2,1
3,162,195,118,83750,9,8,240,92.82,3,525,0.375,278.46,3,630,0.375,2,0.1667,175,Inf,105,0,0
3,162,195,501,18401,11,18,68,29.45,3,204,0.1667,88.35,12,527,0.6667,2,0.1667,68,35.8888888888889,323,9,0.6
3,162,195,501,48004,12,18,136,58.9,6,770,0.3333,353.4,11,915,0.6111,5,0.1667,128.333333333333,29,145,5,0.416666666666667
3,162,195,874,61748,4,9,200,98,5,1000,0.5556,490,6,1047,0.6667,6,0.1667,200,47,47,1,0.25
3,196,196,120,42702,2,170,219.99,110,109,20254.05,0.6412,11990,160,25498.07,0.9412,98,0.1667,185.816972477064,102.823921568627,5244.02,51,0.836065573770492
3,196,196,120,42710,1,24,219.99,110,9,1804,0.375,990,19,2720,0.7917,8,0.1667,200.444444444444,91.6,916,10,0.666666666666667
7,112,113,231,900,6,108,228,96.9,14,2656.01,0.1296,1356.6,25,4237.01,0.2315,6,0.1667,189.715,143.727272727273,1581,11,0.117021276595745
7,118,118,197,41931,9,68,28,12.32,50,1238,0.7353,616,66,1520,0.9706,13,0.1667,24.76,17.625,282,16,0.888888888888889
7,118,118,738,40200,13,14,116,52.08,8,824,0.5714,416.64,9,879,0.6429,4,0.1667,103,55,55,1,0.166666666666667
7,118,118,903,26419,13,16,108,47.7,8,722,0.5,381.6,15,1048,0.9375,0,0.1667,90.25,46.5714285714286,326,7,0.875
7,112,122,410,22896,9,20,79,35.16,12,622,0.6,421.92,17,957,0.85,2,0.1667,51.8333333333333,67,335,5,0.625
7,118,879,460,14161,7,64,24,8.63,11,239,0.1719,94.93,63,568,0.9844,5,0.1667,21.7272727272727,6.32692307692308,329,52,0.981132075471698
7,111,899,3,79173,10,192,59,21.41,89,4153.96,0.4635,1905.49,163,6555.95,0.849,49,0.1667,46.6737078651685,32.4593243243243,2401.99,74,0.718446601941748
31,190,152,410,31502,10,16,129,57.41,7,884,0.4375,401.87,15,1488,0.9375,3,0.1667,126.285714285714,75.5,604,8,0.888888888888889
31,190,644,4,71210,10,12,109,39.57,6,570,0.5,237.42,9,756,0.75,1,0.1667,95,62,186,3,0.5
32,144,144,410,24755,2,19,199,74.63,10,1909.99,0.5263,746.3,18,2751.99,0.9474,12,0.1667,190.999,105.25,842,8,0.888888888888889
32,144,463,665,63126,8,14,59,29.5,6,336,0.4286,177,9,446,0.6429,5,0.1667,56,36.6666666666667,110,3,0.375
7,112,113,231,1180,7,118,188,79.9,6,1059,0.0508,479.4,10,1506,0.0847,2,0.1765,176.5,111.75,447,4,0.0357142857142857
7,112,113,231,2580,5,18,98,41.65,5,426,0.2778,208.25,13,1055,0.7222,2,0.1765,85.2,78.625,629,8,0.615384615384615
7,112,113,528,67922,8,42,138,64,8,933,0.1905,512,18,1328,0.4286,5,0.1765,116.625,39.5,395,10,0.294117647058824
7,118,118,903,18205,9,16,118,52.2,7,668,0.4375,365.4,13,982,0.8125,8,0.1765,95.4285714285714,52.3333333333333,314,6,0.666666666666667
7,112,194,4,72322,12,228,29,12.26,145,3537.99,0.636,1777.7,217,4460.97,0.9518,36,0.1765,24.3999310344828,12.8191666666667,922.98,72,0.867469879518072
7,118,879,460,24143,11,22,69,25.88,5,345,0.2273,129.4,21,771,0.9545,5,0.1765,69,26.625,426,16,0.941176470588235
